datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-16,1.0,,,,,,,,,
2020-01-17,1.0,,,,,,,0.0,,
2020-01-18,1.0,,,,,,,0.0,,
2020-01-19,1.0,,,,,,,0.0,,
2020-01-20,1.0,,,,,,,0.0,,
2020-01-21,1.0,,,,,,,0.0,0.0,
2020-01-22,1.0,,,,,,,0.0,0.0,
2020-01-23,1.0,,,,,,,0.0,0.0,
2020-01-24,1.0,,,,,,,0.0,0.0,
2020-01-25,1.0,,,,,,,0.0,0.0,
2020-01-26,1.0,,,,,,,0.0,0.0,0.0
2020-01-27,1.0,,,,,,,0.0,0.0,0.0
2020-01-28,1.0,,,,,,,0.0,0.0,0.0
2020-01-29,1.0,,,,,,,0.0,0.0,0.0
2020-01-30,1.0,,,,,,,0.0,0.0,0.0
2020-01-31,1.0,,,,,,,0.0,0.0,0.0
2020-02-01,1.0,,,,,,,0.0,0.0,0.0
2020-02-02,1.0,,,,,,,0.0,0.0,0.0
2020-02-03,1.0,,,,,,,0.0,0.0,0.0
2020-02-04,1.0,,,,,,,0.0,0.0,0.0
2020-02-05,1.0,,,,,,,0.0,0.0,0.0
2020-02-06,1.0,,,,,,,0.0,0.0,0.0
2020-02-07,1.0,,,,,,,0.0,0.0,0.0
2020-02-08,1.0,,,,,,,0.0,0.0,0.0
2020-02-09,1.0,,,,,,,0.0,0.0,0.0
2020-02-10,1.0,,,,,,,0.0,0.0,0.0
2020-02-11,1.0,,,,,,,0.0,0.0,0.0
2020-02-12,2.0,,,,,,,1.0,0.2,0.1
2020-02-13,3.0,,,,,,,1.0,0.4,0.2
2020-02-14,4.0,,,,,,,1.0,0.6,0.3
2020-02-15,4.0,,,,,,,0.0,0.6,0.3
2020-02-16,4.0,,,,,,,0.0,0.6,0.3
2020-02-17,5.0,,,,,,,1.0,0.6,0.4
2020-02-18,6.0,,,,,,,1.0,0.6,0.5
2020-02-19,8.0,,,,,,,2.0,0.8,0.7
2020-02-20,10.0,,,,,,,2.0,1.2,0.9
2020-02-21,13.0,,,,,,,3.0,1.8,1.2
2020-02-22,13.0,,,,,,,0.0,1.6,1.1
2020-02-23,13.0,,,,,,2.36,0.0,1.4,1.0
2020-02-24,18.0,,,,,,2.32,5.0,2.0,1.4
2020-02-25,18.0,,,,,,2.19,0.0,1.6,1.4
2020-02-26,19.0,,,,,,1.54,1.0,1.2,1.5
2020-02-27,22.0,,,,,,1.47,3.0,1.8,1.7
2020-02-28,24.0,,,,,,1.15,2.0,2.2,1.8
2020-02-29,24.0,,,,,,1.0,0.0,1.2,1.6
2020-03-01,27.0,,,,,,1.21,3.0,1.8,1.7
2020-03-02,31.0,,,,,,1.0,4.0,2.4,1.8
2020-03-03,32.0,,,,,,1.12,1.0,2.0,1.9
2020-03-04,32.0,,,,,,1.13,0.0,1.6,1.9
2020-03-05,36.0,,,,,,1.06,4.0,2.4,1.8
2020-03-06,41.0,,,,,,1.36,5.0,2.8,2.3
2020-03-07,42.0,,,,,,1.52,1.0,2.2,2.3
2020-03-08,42.0,,,,,,1.11,0.0,2.0,2.0
2020-03-09,42.0,,,,,,0.89,0.0,2.0,1.8
2020-03-10,44.0,,,,,,0.9,2.0,1.6,2.0
2020-03-11,47.0,,,,,,1.11,3.0,1.2,2.0
2020-03-12,50.0,,,,,,1.11,3.0,1.6,1.9
2020-03-13,51.0,,,,,,0.68,1.0,1.8,1.9
