datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-26,0,,,,,,,,,
2020-01-27,0,,,,,,,0.0,,
2020-01-28,0,,,,,,,0.0,,
2020-01-29,0,,,,,,,0.0,,
2020-01-30,1,,,,,,,1.0,,
2020-01-31,1,,,,,,,0.0,0.2,
2020-02-01,1,,,,,,,0.0,0.2,
2020-02-02,1,,,,,,,0.0,0.2,
2020-02-03,1,,,,,,,0.0,0.2,
2020-02-04,1,,,,,,,0.0,0.0,
2020-02-05,1,,,,,,,0.0,0.0,0.1
2020-02-06,1,,,,,,,0.0,0.0,0.1
2020-02-07,1,,,,,,,0.0,0.0,0.1
2020-02-08,1,,,,,,,0.0,0.0,0.1
2020-02-09,1,,,,,,,0.0,0.0,0.0
2020-02-10,1,,,,,,,0.0,0.0,0.0
2020-02-11,1,,,,,,,0.0,0.0,0.0
2020-02-12,1,,,,,,,0.0,0.0,0.0
2020-02-13,1,,,,,,,0.0,0.0,0.0
2020-02-14,1,,,,,,,0.0,0.0,0.0
2020-02-15,1,,,,,,,0.0,0.0,0.0
2020-02-16,1,,,,,,,0.0,0.0,0.0
2020-02-17,1,,,,,,,0.0,0.0,0.0
2020-02-18,1,,,,,,,0.0,0.0,0.0
2020-02-19,1,,,,,,,0.0,0.0,0.0
2020-02-20,1,,,,,,,0.0,0.0,0.0
2020-02-21,1,,,,,,,0.0,0.0,0.0
2020-02-22,1,,,,,,,0.0,0.0,0.0
2020-02-23,1,,,,,,,0.0,0.0,0.0
2020-02-24,1,,,,,,,0.0,0.0,0.0
2020-02-25,1,,,,,,,0.0,0.0,0.0
2020-02-26,1,,,,,,,0.0,0.0,0.0
2020-02-27,1,,,,,,,0.0,0.0,0.0
2020-02-28,1,,,,,,,0.0,0.0,0.0
2020-02-29,1,,,,,,,0.0,0.0,0.0
2020-03-01,1,,,,,,,0.0,0.0,0.0
2020-03-02,1,,,,,,,0.0,0.0,0.0
2020-03-03,1,,,,,,,0.0,0.0,0.0
2020-03-04,1,,,,,,,0.0,0.0,0.0
2020-03-05,1,,,,,,,0.0,0.0,0.0
2020-03-06,1,,,,,,,0.0,0.0,0.0
2020-03-07,1,,,,,,,0.0,0.0,0.0
2020-03-08,1,,,,,,,0.0,0.0,0.0
2020-03-09,1,,,,,,,0.0,0.0,0.0
2020-03-10,2,,,,,,,1.0,0.2,0.1
2020-03-11,7,155.0,,,,,,5.0,1.2,0.6
2020-03-12,7,181.0,,,,,,0.0,1.2,0.6
2020-03-13,7,198.0,,,,,,0.0,1.2,0.6
2020-03-14,8,198.0,,,,,,1.0,1.4,0.7
2020-03-15,8,198.0,,,,,,0.0,1.2,0.7
2020-03-16,8,257.0,,,,,,0.0,0.2,0.7
2020-03-17,8,277.0,,,,,,0.0,0.2,0.7
2020-03-18,9,277.0,4.0,,1.0,0.0,,1.0,0.4,0.8
2020-03-19,9,318.0,5.0,,1.0,0.0,,0.0,0.2,0.8
2020-03-20,9,318.0,5.0,,1.0,0.0,,0.0,0.2,0.7
2020-03-21,9,318.0,5.0,,1.0,0.0,,0.0,0.2,0.2
2020-03-22,9,318.0,4.0,,2.0,0.0,,0.0,0.2,0.2
2020-03-23,9,344.0,4.0,,2.0,0.0,,0.0,0.0,0.2
2020-03-24,9,368.0,4.0,,2.0,0.0,,0.0,0.0,0.1
2020-03-25,9,380.0,4.0,,2.0,0.0,,0.0,0.0,0.1
2020-03-26,9,387.0,4.0,,2.0,0.0,0.0,0.0,0.0,0.1
2020-03-27,9,408.0,4.0,,2.0,0.0,0.0,0.0,0.0,0.1
2020-03-28,9,408.0,7.0,,2.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,9,408.0,7.0,,2.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,11,437.0,9.0,,2.0,0.0,1.64,2.0,0.4,0.2
2020-03-31,11,458.0,9.0,,2.0,0.0,1.64,0.0,0.4,0.2
2020-04-01,11,458.0,9.0,,2.0,0.0,1.64,0.0,0.4,0.2
2020-04-02,12,507.0,10.0,,2.0,0.0,,1.0,0.6,0.3
2020-04-03,13,598.0,8.0,,4.0,0.0,,1.0,0.8,0.4
2020-04-04,13,598.0,8.0,,4.0,0.0,,0.0,0.4,0.4
2020-04-05,13,598.0,9.0,,4.0,0.0,,0.0,0.4,0.4
2020-04-06,13,759.0,9.0,,4.0,0.0,1.0,0.0,0.4,0.4
2020-04-07,13,781.0,9.0,,4.0,0.0,1.0,0.0,0.2,0.4
2020-04-08,13,824.0,8.0,,5.0,0.0,1.0,0.0,0.0,0.4
2020-04-09,15,861.0,10.0,,5.0,0.0,1.0,2.0,0.4,0.4
2020-04-10,15,906.0,10.0,,5.0,0.0,1.0,0.0,0.4,0.4
2020-04-11,17,906.0,12.0,,5.0,0.0,1.44,2.0,0.8,0.6
2020-04-12,17,906.0,8.0,,9.0,0.0,1.0,0.0,0.8,0.5
2020-04-13,17,995.0,6.0,,11.0,0.0,1.64,0.0,0.8,0.4
2020-04-14,19,1002.0,8.0,,11.0,0.0,2.19,2.0,0.8,0.6
2020-04-15,20,1039.0,9.0,,11.0,0.0,2.45,1.0,1.0,0.7
2020-04-16,26,1092.0,14.0,,11.0,1.0,2.53,6.0,1.8,1.3
2020-04-17,32,1144.0,20.0,,11.0,1.0,3.45,6.0,3.0,1.9
2020-04-18,35,1144.0,23.0,,11.0,1.0,2.5,3.0,3.6,2.2
2020-04-19,36,1144.0,24.0,,11.0,1.0,3.04,1.0,3.4,2.1
2020-04-20,39,1397.0,27.0,,11.0,1.0,3.38,3.0,3.8,2.4
2020-04-21,41,1436.0,27.0,,11.0,1.0,2.53,2.0,3.0,2.4
2020-04-22,43,1494.0,31.0,,11.0,1.0,2.34,2.0,2.2,2.6
2020-04-23,43,1578.0,31.0,,11.0,1.0,1.36,0.0,1.6,2.6
2020-04-24,45,1653.0,33.0,,11.0,1.0,0.83,2.0,1.8,2.6
2020-04-25,45,1653.0,28.0,,16.0,1.0,0.66,0.0,1.2,2.5
2020-04-26,45,1653.0,28.0,,16.0,1.0,0.59,0.0,0.8,1.9
2020-04-27,45,1799.0,28.0,,16.0,1.0,0.4,0.0,0.4,1.3
2020-04-28,45,1835.0,28.0,,16.0,1.0,0.3,0.0,0.4,1.0
2020-04-29,45,1835.0,25.0,,19.0,1.0,0.17,0.0,0.0,0.9
2020-04-30,45,1903.0,25.0,,19.0,1.0,0.22,0.0,0.0,0.6
2020-05-01,45,1938.0,25.0,,19.0,1.0,0.0,0.0,0.0,0.4
2020-05-02,45,1938.0,25.0,,19.0,1.0,0.0,0.0,0.0,0.2
2020-05-03,45,1938.0,25.0,,19.0,1.0,0.0,0.0,0.0,0.2
2020-05-04,45,1938.0,25.0,,19.0,1.0,0.0,0.0,0.0,0.0
2020-05-05,45,1938.0,24.0,,20.0,1.0,0.0,0.0,0.0,0.0
2020-05-06,45,1938.0,15.0,,29.0,1.0,0.0,0.0,0.0,0.0
2020-05-07,45,2084.0,15.0,,29.0,1.0,0.0,0.0,0.0,0.0
2020-05-08,45,2093.0,14.0,0.0,30.0,1.0,,0.0,0.0,0.0
2020-05-09,45,2132.0,12.0,0.0,32.0,1.0,,0.0,0.0,0.0
2020-05-10,45,2153.0,11.0,0.0,33.0,1.0,,0.0,0.0,0.0
2020-05-11,45,2153.0,10.0,0.0,34.0,1.0,,0.0,0.0,0.0
2020-05-12,45,2153.0,10.0,0.0,34.0,1.0,,0.0,0.0,0.0
