datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-16,0.0,,,,,,,,,
2020-01-17,0.0,,,,,,,0.0,,
2020-01-18,0.0,,,,,,,0.0,,
2020-01-19,0.0,,,,,,,0.0,,
2020-01-20,0.0,,,,,,,0.0,,
2020-01-21,0.0,,,,,,,0.0,0.0,
2020-01-22,0.0,,,,,,,0.0,0.0,
2020-01-23,0.0,,,,,,,0.0,0.0,
2020-01-24,0.0,,,,,,,0.0,0.0,
2020-01-25,0.0,,,,,,,0.0,0.0,
2020-01-26,0.0,,,,,,,0.0,0.0,0.0
2020-01-27,0.0,,,,,,,0.0,0.0,0.0
2020-01-28,0.0,,,,,,,0.0,0.0,0.0
2020-01-29,0.0,,,,,,,0.0,0.0,0.0
2020-01-30,1.0,,,,,,,1.0,0.2,0.1
2020-01-31,1.0,,,,,,,0.0,0.2,0.1
2020-02-01,1.0,,,,,,,0.0,0.2,0.1
2020-02-02,1.0,,,,,,,0.0,0.2,0.1
2020-02-03,1.0,,,,,,,0.0,0.2,0.1
2020-02-04,1.0,,,,,,,0.0,0.0,0.1
2020-02-05,1.0,,,,,,,0.0,0.0,0.1
2020-02-06,1.0,,,,,,,0.0,0.0,0.1
2020-02-07,1.0,,,,,,,0.0,0.0,0.1
2020-02-08,1.0,,,,,,,0.0,0.0,0.1
2020-02-09,1.0,,,,,,,0.0,0.0,0.0
2020-02-10,1.0,,,,,,,0.0,0.0,0.0
2020-02-11,1.0,,,,,,,0.0,0.0,0.0
2020-02-12,1.0,,,,,,,0.0,0.0,0.0
2020-02-13,1.0,,,,,,,0.0,0.0,0.0
2020-02-14,1.0,,,,,,,0.0,0.0,0.0
2020-02-15,1.0,,,,,,,0.0,0.0,0.0
2020-02-16,1.0,,,,,,,0.0,0.0,0.0
2020-02-17,1.0,,,,,,,0.0,0.0,0.0
2020-02-18,1.0,,,,,,,0.0,0.0,0.0
2020-02-19,1.0,,,,,,,0.0,0.0,0.0
2020-02-20,1.0,,,,,,,0.0,0.0,0.0
2020-02-21,1.0,,,,,,,0.0,0.0,0.0
2020-02-22,1.0,,,,,,,0.0,0.0,0.0
2020-02-23,1.0,,,,,,,0.0,0.0,0.0
2020-02-24,1.0,,,,,,,0.0,0.0,0.0
2020-02-25,1.0,,,,,,,0.0,0.0,0.0
2020-02-26,1.0,,,,,,,0.0,0.0,0.0
