datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-16,0.0,,,,,,,,,
2020-01-17,0.0,,,,,,,0.0,,
2020-01-18,0.0,,,,,,,0.0,,
2020-01-19,0.0,,,,,,,0.0,,
2020-01-20,0.0,,,,,,,0.0,,
2020-01-21,0.0,,,,,,,0.0,0.0,
2020-01-22,0.0,,,,,,,0.0,0.0,
2020-01-23,0.0,,,,,,,0.0,0.0,
2020-01-24,1.0,,,,,,,1.0,0.2,
2020-01-25,2.0,,,,,,,1.0,0.4,
2020-01-26,2.0,,,,,,,0.0,0.4,0.2
2020-01-27,2.0,,,,,,,0.0,0.4,0.2
2020-01-28,2.0,,,,,,,0.0,0.4,0.2
2020-01-29,2.0,,,,,,,0.0,0.2,0.2
2020-01-30,3.0,,,,,,,1.0,0.2,0.3
2020-01-31,3.0,,,,,,,0.0,0.2,0.3
2020-02-01,3.0,,,,,,,0.0,0.2,0.3
2020-02-02,3.0,,,,,,,0.0,0.2,0.3
2020-02-03,3.0,,,,,,,0.0,0.2,0.2
2020-02-04,3.0,,,,,,,0.0,0.0,0.1
2020-02-05,3.0,,,,,,,0.0,0.0,0.1
2020-02-06,3.0,,,,,,,0.0,0.0,0.1
2020-02-07,3.0,,,,,,,0.0,0.0,0.1
2020-02-08,3.0,,,,,,,0.0,0.0,0.1
2020-02-09,3.0,,,,,,,0.0,0.0,0.0
2020-02-10,3.0,,,,,,,0.0,0.0,0.0
2020-02-11,3.0,,,,,,,0.0,0.0,0.0
2020-02-12,3.0,,,,,,,0.0,0.0,0.0
2020-02-13,3.0,,,,,,,0.0,0.0,0.0
2020-02-14,3.0,,,,,,,0.0,0.0,0.0
2020-02-15,3.0,130.0,,,,,,0.0,0.0,0.0
2020-02-16,3.0,204.0,,,,,,0.0,0.0,0.0
2020-02-17,3.0,211.0,,,,,,0.0,0.0,0.0
2020-02-18,6.0,235.0,,,,,,3.0,0.6,0.3
2020-02-19,9.0,315.0,,,,,,3.0,1.2,0.6
2020-02-20,9.0,375.0,,,,,,0.0,1.2,0.6
2020-02-21,12.0,410.0,,,,,,3.0,1.8,0.9
2020-02-22,13.0,444.0,,,,,,1.0,2.0,1.0
2020-02-23,13.0,451.0,,,,,0.71,0.0,1.4,1.0
2020-02-24,16.0,465.0,,,,,0.86,3.0,1.4,1.3
